controllerCode,  timestamp, measurement
             1,       3600,      15.278
             2,       3600,      13.647
             3,       3600,       0.030
             1,       7200,       4.719
             2,       7200,       0.248
             3,       7200,       0.000
             1,      10800,       6.875
             2,      10800,      14.400
             3,      10800,       0.015
             1,      14400,       6.506
             2,      14400,       0.000
             3,      14400,       0.007
             1,      18000,       6.466
             2,      18000,      14.306
             3,      18000,       0.019
             1,      21600,       6.560
             2,      21600,       0.000
             3,      21600,       0.002
             2,      25200,      13.803
             3,      25200,       0.027
             1,      28800,       5.659
             2,      28800,       0.000
             3,      28800,       0.000
             1,      32400,       5.475
             2,      32400,      11.211
             3,      32400,       0.001
             1,      36000,       4.883
             2,      36000,       0.000
             3,      36000,       0.018
             1,      39600,       4.515
             2,      39600,       9.875
             3,      39600,       0.000
             1,      43200,       4.046
             2,      43200,       0.000
             3,      43200,       0.013
             2,      46800,       7.882
             3,      46800,       0.001
             1,      50400,       3.496
             2,      50400,       0.000
             3,      50400,       0.019
             1,      54000,       3.188
             2,      54000,       7.076
             3,      54000,       0.000
             1,      57600,       3.196
             2,      57600,       0.000
             3,      57600,       0.012
             1,      61200,       3.375
             2,      61200,       7.345
             3,      61200,       0.004
             1,      64800,       3.506
             2,      64800,       0.128
             3,      64800,       0.024
             2,      68400,       8.733
             3,      68400,       0.000
             1,      72000,       4.152
             2,      72000,       0.125
             3,      72000,       0.023
             1,      75600,       4.846
             2,      75600,      10.511
             3,      75600,       0.000
             1,      79200,       5.134
             2,      79200,       0.406
             3,      79200,       0.025
             1,      82800,       5.636
             2,      82800,      12.066
             3,      82800,       0.000
             1,      86400,       5.751
             2,      86400,       0.228
             3,      86400,       0.022
